park_id,park_name,land,ride_name,hora,avg_wait,min_wait,max_wait,p25_wait,p75_wait,n_samples
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,12:00,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,12:30,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,13:00,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,13:30,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,14:00,0,0,0,0,0,16
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,14:30,0,0,0,0,0,16
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,15:00,0,0,0,0,0,16
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,15:30,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,16:00,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,16:30,0,0,0,0,0,16
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,17:00,0,0,0,0,0,16
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,17:30,0,0,0,0,0,15
6,Disney Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,18:00,0,0,0,0,0,13
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,8:00,25,25,25,,,1
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,8:30,35,35,35,,,1
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,9:00,40,40,40,,,1
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,9:30,45,45,45,,,1
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,10:00,45,45,45,,,1
6,Disney Magic Kingdom,Adventureland,Jingle Cruise,10:30,35,35,35,,,1
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,8:30,20,20,20,,,1
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,9:00,21.92307692,5,45,10,25,13
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,9:30,30,5,45,20,40,13
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,10:00,36.78571429,5,55,30,40,14
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,10:30,45.35714286,25,65,35,50,14
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,11:00,47.85714286,40,60,40,50,14
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,11:30,48.21428571,20,60,40,55,14
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,12:00,48.66666667,35,70,40,55,15
6,Disney Magic Kingdom,Adventureland,Jungle Cruise,12:30,49,35,70,40,55,15
